20190101,1080
20190102,698
20190103,728
20190104,832
20190105,1247
20190106,1626
20190107,1616
20190108,1510
20190109,1526
20190110,1702
20190111,1752
20190112,1712
20190113,1734
20190114,1624
20190115,1382
20190116,1481
20190117,1691
20190118,1721
20190119,1766
20190120,1745
20190121,1657
20190122,1491
20190123,1524
20190124,1747
20190125,1741
20190126,1809
20190127,1772
20190128,1699
20190129,1544
20190130,1584
20190131,1691
20190201,1735
20190202,1764
20190203,1784
20190204,1678
20190205,1532
20190206,1602
20190207,1757
20190208,1810
20190209,1878
20190210,1827
20190211,1700
20190212,1519
20190213,1559
20190214,1790
20190215,1830
20190216,1778
20190217,1845
20190218,1676
20190219,1541
20190220,1547
20190221,1771
20190222,1791
20190223,1783
20190224,1806
20190225,1721
20190226,1630
20190227,1636
20190228,1726
20190301,1798
20190302,1854
20190303,1813
20190304,1774
20190305,1642
20190306,1673
20190307,1840
20190308,1865
20190309,1862
20190310,1860
20190311,1751
20190312,1590
20190313,1601
20190314,1804
20190315,1810
20190316,1854
20190317,1868
20190318,1725
20190319,1541
20190320,1578
20190321,1790
20190322,1867
20190323,1869
20190324,1870
20190325,1830
20190326,1667
20190327,1676
20190328,1873
20190329,1924
20190330,1963
20190331,1926
20190401,1810
20190402,1607
20190403,1650
20190404,1863
20190405,1867
20190406,1913
20190407,1916
20190408,1826
20190409,1663
20190410,1670
20190411,1837
20190412,1916
20190413,1914
20190414,1925
20190415,1829
20190416,1614
20190417,1657
20190418,1858
20190419,1947
20190420,1971
20190421,1956
20190422,1832
20190423,1703
20190424,1758
20190425,1920
20190426,1980
20190427,1995
20190428,1943
20190429,1814
20190430,1620
20190501,1614
20190502,1719
20190503,1727
20190504,1757
20190505,1750
20190506,1724
20190507,1618
20190508,1638
20190509,1879
20190510,1914
20190511,1946
20190512,1959
20190513,1822
20190514,1686
20190515,1738
20190516,1905
20190517,1993
20190518,2008
20190519,1983
20190520,1870
20190521,1662
20190522,1721
20190523,1924
20190524,2037
20190525,2052
20190526,2002
20190527,1918
20190528,1722
20190529,1815
20190530,2035
20190531,2049
20190601,2105
20190602,2116
20190603,1969
20190604,1791
20190605,1837
20190606,2005
20190607,2086
20190608,2176
20190609,2083
20190610,1950
20190611,1798
20190612,1842
20190613,2076
20190614,2155
20190615,2170
20190616,2134
20190617,2014
20190618,1814
20190619,1867
20190620,2033
20190621,2150
20190622,2186
20190623,2231
20190624,2059
20190625,1840
20190626,1946
20190627,2101
20190628,2128
20190629,2173
20190630,2203
20190701,2081
20190702,1943
20190703,2007
20190704,2172
20190705,2211
20190706,2244
20190707,2252
20190708,2092
20190709,1918
20190710,1943
20190711,2184
20190712,2164
20190713,2182
20190714,2206
20190715,2043
20190716,1916
20190717,1919
20190718,2105
20190719,2231
20190720,2252
20190721,2190
20190722,2033
20190723,1902
20190724,1960
20190725,2131
20190726,2220
20190727,2247
20190728,2216
20190729,2100
20190730,1916
20190731,2004
20190801,2172
20190802,2192
20190803,2240
20190804,2177
20190805,2090
20190806,1929
20190807,1995
20190808,2144
20190809,2220
20190810,2268
20190811,2216
20190812,2081
20190813,1831
20190814,1702
20190815,1818
20190816,1894
20190817,2133
20190818,2231
20190819,2113
20190820,1912
20190821,1987
20190822,2200
20190823,2268
20190824,2234
20190825,2320
20190826,2203
20190827,2019
20190828,2125
20190829,2331
20190830,2386
20190831,2380
20190901,2390
20190902,2248
20190903,2076
20190904,2142
20190905,2342
20190906,2403
20190907,2397
20190908,2422
20190909,2296
20190910,2120
20190911,2167
20190912,2514
20190913,2493
20190914,2475
20190915,2431
20190916,2301
20190917,2059
20190918,2074
20190919,2348
20190920,2526
20190921,2512
20190922,2496
20190923,2347
20190924,2173
20190925,2236
20190926,2407
20190927,2475
20190928,2514
20190929,2492
20190930,2351
20191001,2207
20191002,2254
20191003,2486
20191004,2597
20191005,2568
20191006,2555
20191007,2382
20191008,2190
20191009,2261
20191010,2476
20191011,2490
20191012,2440
20191013,2175
20191014,2245
20191015,2127
20191016,2161
20191017,2420
20191018,2522
20191019,2562
20191020,2589
20191021,2372
20191022,2150
20191023,2170
20191024,2429
20191025,2498
20191026,2560
20191027,2630
20191028,2448
20191029,2258
20191030,2310
20191031,2486
20191101,2551
20191102,2643
20191103,2633
20191104,2417
20191105,2220
20191106,2285
20191107,2490
20191108,2598
20191109,2594
20191110,2644
20191111,2453
20191112,2281
20191113,2300
20191114,2525
20191115,2565
20191116,2657
20191117,2652
20191118,2426
20191119,2267
20191120,2289
20191121,2507
20191122,2580
20191123,2621
20191124,2589
20191125,2491
20191126,2343
20191127,2603
20191128,2804
20191129,2705
20191130,2699
20191201,2692
20191202,2565
20191203,2428
20191204,2458
20191205,2638
20191206,2714
20191207,2741
